INVESTMENT_ID,CUSTOMER_ID,ASSET_CLASS,INVESTMENT_AMOUNT,CURRENT_VALUE,INVESTMENT_DATE,UPDATED_AT
3fd8637a-d5e2-498f-8cae-28747db11b05,21084573-0562-4cc6-95f3-87784993b2bd,Real Estate,62824.64,31283.84,2017-11-30,2025-03-15 13:16:53
83225bcc-9863-4226-899c-945fd1ae85cc,3366b6cf-ed22-445c-aaaf-8f1cfbb38d7c,Real Estate,34592.17,92582.59,2021-02-06,2025-03-15 13:16:53
88fe8657-4b71-4268-924e-00b0c7254542,9123b179-177e-4287-b486-74054aea1d56,Stock,29821.87,139091.88,2015-09-29,2025-03-15 13:16:53
6e468553-6346-4fcd-ac24-718330044e76,0f721873-c59b-4181-8ec6-7100bc92968e,Real Estate,81834.33,17799.77,2020-03-20,2025-03-15 13:16:53
745fe625-bbc7-4ec0-9b11-88dca862a13f,c170f39a-cb26-4cc9-a157-e2b4f1b24bb8,Mutual Fund,10609.59,143165.73,2022-06-27,2025-03-15 13:16:53
881e3003-4f36-4f70-baf0-a19722164ada,258e5481-bf37-48a2-bac5-0e6b6a188b9c,Stock,77178.47,58958.28,2016-05-24,2025-03-15 13:16:53
4dad8bb9-9bae-4e65-bfff-3ff5ada9eea2,cd28d193-80a4-4b42-94a4-e8ca2146b05d,ETF,42961.7,81577.1,2022-07-04,2025-03-15 13:16:53
50d9df9e-aa4e-4d21-9d4b-16602b35660a,08606983-8b32-409b-afa6-f7a04bb75b68,Real Estate,28263.59,92585.97,2022-02-09,2025-03-15 13:16:53
3a71fa71-2dbc-4ad9-9c5e-027f67801fa6,6c2e245b-9e87-486f-a52e-a108ad51d08d,ETF,9762.61,109487.36,2021-06-02,2025-03-15 13:16:53
281f350f-638b-4442-8f8b-207c86433a10,bc5be4c7-585d-43f2-8621-7d5f75b0fabc,Bond,42326.79,77305.63,2018-03-27,2025-03-15 13:16:53
6dffb420-ec87-49ea-a7da-a0cc6074f4be,1fe58105-74ee-42a6-a03c-446be20cae1e,Real Estate,66773.3,85755.46,2017-07-30,2025-03-15 13:16:53
10b95a62-f6b4-4a0e-9f5c-b0bf559d4718,84c3aa1d-65d1-46e2-984e-4ee9a9492135,Mutual Fund,86383.58,102167.37,2020-07-24,2025-03-15 13:16:53
0d937c48-d21c-4f7d-9959-9408ba83a42c,82a41205-a8e2-4581-beb9-bca95907f130,Mutual Fund,58123.6,21080.52,2022-09-20,2025-03-15 13:16:53
802d8cac-1e55-436a-af16-9e35ca7337ff,b376ce19-bc07-4a50-809e-6622a4209009,Stock,71059.34,104148.95,2017-03-29,2025-03-15 13:16:53
cd8b01d6-f16d-4381-9731-c6354f52c833,efadf7f4-b22b-4bc5-86a3-310737e8ea60,Mutual Fund,34445.47,136013.04,2022-10-26,2025-03-15 13:16:53
3d1a96d9-e4a2-4fd2-960e-7521922ff5b4,184a4230-336d-4702-afc3-94000fa08dbb,Bond,99629.47,73726.46,2021-02-22,2025-03-15 13:16:53
5895029a-c768-4393-85df-d050381b1d7e,301e5efa-6d27-496f-89ca-8271176babda,Crypto,51023.5,25696.54,2015-09-19,2025-03-15 13:16:53
1b48169e-f556-45fe-80ad-028b36f7fa88,771f213c-d426-4e42-94b6-e1f32616d79d,Crypto,98556.73,133455.94,2022-11-06,2025-03-15 13:16:53
0de735dc-f26a-4e80-8f07-e38bc7d1baf1,a094ddf1-ddfa-4504-b0d1-911778ec4872,Crypto,77046.1,49732.86,2016-04-23,2025-03-15 13:16:53
94c3ac43-af74-447c-80f3-547ef03d7253,937d0f3c-9842-4b6a-a443-a51cef3ec493,Real Estate,93030.59,70185.26,2023-02-23,2025-03-15 13:16:53
4886c680-8f3f-4873-a9e6-6ac52f9de896,5a1dc34e-abcb-403f-9da9-4621a552a867,Crypto,90751.3,24610.96,2017-01-13,2025-03-15 13:16:53
4755b347-63d7-4762-b6b1-be21c1a3e1cc,66d4109a-fe5b-4d03-ac1e-6d11de1c24e1,Stock,85577.97,6267.32,2022-11-03,2025-03-15 13:16:53
5ebbbe3c-4d0e-4b62-b3b3-48420b03b926,af297ffa-db58-488e-8d49-5a2098f7c63e,Bond,56655.75,56518.39,2016-10-23,2025-03-15 13:16:53
d6599859-16c3-427d-aab0-0c723987d50e,836d6849-2888-4cce-97bf-b0f8bc0cc1d1,Stock,47160.3,93786.96,2021-07-01,2025-03-15 13:16:53
4f118c1d-130c-496b-bf1b-41c8630a8094,2612de6b-f3e2-4314-93ad-b585328a5449,Real Estate,86723.47,73302.19,2023-05-01,2025-03-15 13:16:53
8bcd2420-0131-4081-b18a-27e4202bdc90,f3e8f98d-1d1b-4ac6-9751-58292c001f92,Stock,84607.92,76232.12,2016-05-24,2025-03-15 13:16:53
cac940f1-5932-4ef1-8561-e78c98e81646,846ec40d-57dd-4466-b3c9-75f77fbf2811,Stock,8996.06,131942.93,2021-02-10,2025-03-15 13:16:53
9851c3e8-017b-4beb-8dd9-371f35ee81f5,3a18cc27-6f51-48fe-ac64-df102acf5715,Bond,35238.72,23437.97,2021-07-04,2025-03-15 13:16:53
6451b83b-eb6f-4227-9886-7dabc4ee9baf,427574aa-b6df-4641-9cba-ba3f3638809c,Bond,19387.8,137054.27,2018-02-05,2025-03-15 13:16:53
aa4b708f-dc93-4e4b-9782-823bd20aa79c,fc552bc8-571c-4022-be88-f5fe2ed2b887,Real Estate,41293.6,24056.06,2017-04-29,2025-03-15 13:16:53
e9178f62-a232-4190-aa86-52de2b6421c5,31605cde-1092-4678-80da-8d99f063eecb,Real Estate,71762.66,28498.05,2016-03-19,2025-03-15 13:16:53
adfa5b2a-dbda-4e31-81d3-361d25d4c5b4,a190d8ad-7096-44b8-a2b6-b4d5fb7b6765,Mutual Fund,8968.82,67393.54,2022-06-13,2025-03-15 13:16:53
795e4ae5-296c-4022-921b-6954bd466ca1,07b179dc-af59-426f-a5ec-8a966e3920de,ETF,1355.08,56642.62,2018-02-20,2025-03-15 13:16:53
e45b9689-67a6-4677-b386-6e2a9c28549e,6bbb67f0-6ade-4e2e-94d7-12f375709238,Real Estate,50365.12,140108.36,2019-10-08,2025-03-15 13:16:53
0fbe0421-bf93-4cb7-8259-f6c9bb5cdf57,e6d0c156-1c27-4a42-ab07-8cde954e0d88,Bond,28581.97,88822.51,2016-11-10,2025-03-15 13:16:53
60d54c4c-9ae4-413b-bc87-4e0bee25cb66,1fcb5d2c-82b7-4628-a7cf-b8d7e1d50dfc,Crypto,79681.93,99856.78,2023-12-16,2025-03-15 13:16:53
55a4cdef-7ba2-4255-9eeb-155b288bbcfe,cc3c0ff0-767f-47e3-b58d-90f824e47791,Real Estate,3506.1,79548.47,2018-12-22,2025-03-15 13:16:53
fc5e903d-29e0-4047-8030-b0a45cf4b26a,147bd77c-94dd-4d63-9446-6c8b29803380,Real Estate,83102.95,125519.82,2021-03-13,2025-03-15 13:16:53
1bfe0e15-09e4-4db5-916c-2ebea151700d,52a83d69-53e6-4851-a44b-f1c7472ba1ac,Stock,99630.51,60529.44,2020-09-18,2025-03-15 13:16:53
7134c7c5-7509-4f93-872e-2490898a221d,8ca7d50d-8548-4842-a3f1-29e24223282f,Bond,74366.05,125484.29,2016-04-19,2025-03-15 13:16:53
6ebce2d5-d33c-488b-90f4-5bc5019e6f70,8cec0d03-5826-4926-9285-521dd1c3a2ba,Stock,16914.77,126478.36,2020-06-20,2025-03-15 13:16:53
b2db5339-a7e6-45d8-b1da-279ef73474a5,5fde4fa3-e4a1-429f-9d16-506598706d12,Stock,44365.24,73514.79,2023-08-31,2025-03-15 13:16:53
25b16d83-2cbd-4c01-9dff-b9cf44436f98,485a5994-70b7-420c-b208-aaa5995b85c1,Real Estate,17709.98,120150.01,2023-12-20,2025-03-15 13:16:53
d30d96e4-1932-42f3-a844-d40ad695dab7,b6d45a0d-f9df-4a30-8cb3-cec853188798,Stock,69841.13,78616.32,2021-09-03,2025-03-15 13:16:53
8808b5c9-9105-4f0c-b809-39c7d5e06ec5,18ec260d-cd6d-4c8a-be38-8004d8bd3d7d,Bond,60493.42,97436.29,2018-08-26,2025-03-15 13:16:53
f3e38be2-f061-42dd-826d-fd1de52df475,bc9ecc2d-d068-4821-b863-d37eab02179b,Bond,89763.78,91002.11,2018-12-18,2025-03-15 13:16:53
1f1b0031-9fac-4897-a5d0-d562570bee47,8c963426-018e-4770-839b-ed5894c9de06,Stock,91814.79,97353.07,2016-07-29,2025-03-15 13:16:53
c0c5c6ad-bed8-4d77-afca-211e946604c9,5a81ee69-e795-43ce-9875-f0901bc05b86,Real Estate,8977.99,34463.87,2023-02-17,2025-03-15 13:16:53
07ae8e39-669e-46ef-bef7-f5f39d1b3c26,b1c38b3d-9f07-410e-b801-7c4a00e18de1,Stock,68881.51,25703.59,2017-03-09,2025-03-15 13:16:53
e1ca2eac-73dd-4359-b90e-bac39560f607,a25d3596-963f-4d50-aad5-9ab36eb926cb,ETF,89329.04,80462.19,2023-02-26,2025-03-15 13:16:53
2ae5df03-8a5e-4b53-ae4f-2c80dba139e0,b5a93039-db51-4a55-ac68-c21e7d51dbe6,Stock,87898.99,44999.9,2018-07-18,2025-03-15 13:16:53
cc01dfab-f5e6-4822-9c19-16219e857294,c4c70180-7e6c-4bdf-8f2e-a8bfdb1d4a82,Bond,39827.27,26659.24,2022-01-15,2025-03-15 13:16:53
9bcd7deb-e244-4783-97bf-91957247820c,93253c6b-e262-41a6-9bc4-5b420d74581d,ETF,95903.26,33415.93,2020-10-08,2025-03-15 13:16:53
b1a91a8d-e8cd-49b3-9417-e70cb74d509b,15bf9771-e36b-4644-b4e1-98be5343b1e3,Bond,44572.15,137647.04,2020-01-28,2025-03-15 13:16:53
ef559216-617d-4570-aecf-2be6c093736e,6a39d51f-aec2-4f13-87f2-037f93db24f1,Mutual Fund,40823.61,141370.51,2021-08-04,2025-03-15 13:16:53
6fbb0dc7-d863-49aa-8e27-34c029ace32c,19f5c060-6119-4f4a-b3ba-b077aff552d7,Stock,50655.97,40241.15,2018-04-22,2025-03-15 13:16:53
9ccb7d68-27d8-4188-bd4e-134729c9c41a,202866cc-50b0-414d-8a1d-655c5c83273a,Mutual Fund,25368.15,138475.54,2019-01-27,2025-03-15 13:16:53
b56d4946-e151-4ed5-b738-2d701c95ff2a,5122f197-eeaa-46a2-b694-3d72afe0f390,Mutual Fund,61325.78,51029.01,2022-03-13,2025-03-15 13:16:53
fe085deb-fbef-49f3-8eee-5c38e9ae6e32,9d78ad27-c862-4a1c-a6a5-eb516268feb8,Bond,6632.33,121773.18,2016-07-30,2025-03-15 13:16:53
f0e42ed4-bb9e-470a-9410-390fdc2dac3b,329926d8-fdaa-40d5-9e01-bd83f78e85f8,Stock,68193.45,12793.83,2018-11-04,2025-03-15 13:16:53
bd8c0900-dfa5-4b8a-b315-5404490b0159,cce123ca-b987-4a81-ab05-05661c0816dc,Stock,99850.87,145475.43,2022-04-03,2025-03-15 13:16:53
f2bff58f-3873-4458-8098-dae3df0682cc,7c11291d-80d8-41f5-bdcf-23a6eecf2951,ETF,22113.96,38698.55,2019-12-12,2025-03-15 13:16:53
9c337c1f-bad6-4003-a725-6f846868795e,0ac1ebc9-8ea1-42da-81fd-6258f298e04d,Crypto,20774.95,5971.91,2017-05-27,2025-03-15 13:16:53
518319b5-9c93-460f-8ec7-d410fa142515,b01184cd-62ea-40c6-88dd-5038cd652a13,Crypto,2290.12,83594.13,2019-03-12,2025-03-15 13:16:53
bee152c1-bd9c-49f6-9d06-3c94cc462a2a,45059e7d-6f44-4f35-870d-2a3db87e9c2b,Stock,77672.05,15554.96,2016-06-17,2025-03-15 13:16:53
bf16b98a-dd55-4eaf-ad3e-a4c433aaff4d,504b204d-7ab3-4dd2-9afb-fc08a1ff7dd9,Real Estate,75442.74,48608.49,2023-04-24,2025-03-15 13:16:53
c9b1f942-d996-449d-9de8-33c024017670,621f31a5-3ba5-46b5-964f-39c26bc49dff,Crypto,3516.61,13243.64,2015-01-31,2025-03-15 13:16:53
cf27847b-2184-4404-aff0-85c540e7f371,10a98719-f6e9-4770-b142-033bbcd112ae,Crypto,9000.04,143038.17,2017-04-02,2025-03-15 13:16:53
e582f03e-cc22-4710-b911-1f66ba486b03,502840b1-2e0b-4109-be87-e908b5b4f112,Stock,22869.86,119624.04,2021-04-14,2025-03-15 13:16:53
0c5245da-643f-4cf3-96b4-40de54ae3a17,29d49147-8d15-4449-8f0f-f36a88a4e46b,Mutual Fund,34981.17,21693.91,2020-11-12,2025-03-15 13:16:53
93138d66-973a-4c31-a602-56a4a779f134,4f3fe1d0-c316-4c43-87b9-1488a2a88ba6,Bond,53468.18,35247.48,2019-09-19,2025-03-15 13:16:53
2250e5d3-5cc6-4fed-b751-bb92d9c062a4,825d288f-f8ed-4b95-948f-cd924d5e214a,Stock,81223.47,7027.25,2016-10-02,2025-03-15 13:16:53
d961e686-4729-4f89-881c-1d1440c7b5c2,1f4b3377-de32-44a3-be0b-b2be4ca4ceef,Mutual Fund,61736.08,100391.5,2016-04-06,2025-03-15 13:16:53
023ead53-6918-4cc3-8032-ce3da9a1e003,2b186bc1-48da-4c65-82f4-6cb2388f2f53,Real Estate,1090.4,65744.79,2023-06-07,2025-03-15 13:16:53
cb789634-3569-427b-b10a-b9eb80d1aabc,39f9ebb9-e121-4433-90cb-0807e74dcf32,Crypto,92894.01,93664.09,2022-03-01,2025-03-15 13:16:53
d7b9f489-d956-4ab1-96a9-f9100b433ed3,d450c5a4-5287-4cd5-a1de-885b15cf6f8e,Stock,67682.48,135039.68,2016-12-09,2025-03-15 13:16:53
f7974e26-2cf3-4730-a840-e57de011b590,34ec831e-3bab-4569-b0ad-2034989aa8e0,Crypto,45964.1,139500.27,2017-07-07,2025-03-15 13:16:53
8f105c7e-261c-484c-92e4-51f30b013627,2d056982-7784-41a6-88c4-af7462e1e8c9,Stock,56150.58,63409.83,2022-09-09,2025-03-15 13:16:53
7e1a2f59-83b3-4096-8113-ae806874a825,684b17d5-69fc-4ae4-84f5-64ef97912f7b,ETF,8251.22,145369.94,2022-05-24,2025-03-15 13:16:53
1b9b392e-357c-4fac-964e-1f1a8646c899,0fe2bc36-5876-40ba-8066-7b47e04987d3,Stock,44110.0,97052.58,2015-03-27,2025-03-15 13:16:53
b2c4a423-94c7-4885-9271-50a1f94787df,96173d1e-7961-4279-abb1-51e1b0cbc2b0,Real Estate,71189.42,83974.36,2018-02-28,2025-03-15 13:16:53
e14cd2fe-8c79-462f-a5f7-c229a37f3def,b3517521-eeb2-46d4-a2cc-7e656d33d87b,Mutual Fund,62859.54,72016.24,2015-07-31,2025-03-15 13:16:53
9d7ee08c-38f2-4f16-a5da-637040a95df9,e5f2987a-2039-4c92-b916-8d54c1fd6653,Crypto,9340.18,3107.56,2015-03-14,2025-03-15 13:16:53
c01d6b1b-0b5c-4624-8ca0-286acc3483a7,5fe03080-b0d2-41a7-bbc5-879ae7dc1007,Bond,71521.73,117764.91,2020-03-11,2025-03-15 13:16:53
017bd759-c374-4730-abd1-9c4b224f4c1b,3211dc48-bea5-49a2-9503-c27e3a39a9a3,Real Estate,38604.18,59936.92,2016-02-03,2025-03-15 13:16:53
32295ef5-b886-4da5-b8b3-88ca5789872f,c4ad9a6a-58fb-41aa-9664-f66253769623,Crypto,49420.98,60914.21,2018-06-20,2025-03-15 13:16:53
407a572f-508f-4812-9209-13aacf248edf,aeb810ea-aad4-4bb7-85d5-2afc3d5bb31d,Mutual Fund,18904.06,109876.76,2022-11-08,2025-03-15 13:16:53
32daec5e-a296-4b85-8482-e3415183895a,c06d2004-7f17-458c-b24b-1618e896bec5,Bond,60266.24,73884.5,2018-03-12,2025-03-15 13:16:53
ae1bdbeb-baab-455d-9a44-60fd06c78734,bbc24f8a-ed2d-4528-bfe6-fe7aad45723a,Mutual Fund,40782.04,27690.45,2018-04-04,2025-03-15 13:16:53
4ffaa4ac-6fd3-4bab-b6e6-a53947233988,07ddddfb-0e74-4e60-9166-39ac418c1b37,ETF,47605.33,72740.42,2017-06-15,2025-03-15 13:16:53
fb13de38-b985-40a8-8ac6-42b66918c08b,6c35055d-d698-4d3a-8828-3f888ba65b8b,Crypto,28919.94,73837.41,2018-11-08,2025-03-15 13:16:53
463d1af2-7f46-4632-bc39-98faadfd50fd,90269045-41e3-40ee-a985-304eeba5b7ff,ETF,14493.78,13208.4,2019-05-25,2025-03-15 13:16:53
ed17f8db-aa56-4acb-94ec-a2ed7c185221,c0367fcc-cc08-4135-b8c4-4c600dc2bd16,ETF,10502.07,49152.92,2017-09-26,2025-03-15 13:16:53
93710c21-6bed-45c6-9327-c8fb7d74bf78,f9b6a594-5350-4656-b64d-47217fa81845,Real Estate,94943.25,48357.99,2023-05-09,2025-03-15 13:16:53
e234cb77-4b0b-40fe-84d8-9c1a3d72b74b,c188b80c-816f-4023-acc3-766b8d2b9144,Real Estate,61610.51,130911.67,2017-08-21,2025-03-15 13:16:53
76539876-326d-43c2-bbfc-018b47de9728,2744f28c-f688-47a0-b65e-da8b0fb12b1d,Stock,78824.0,125370.47,2017-04-30,2025-03-15 13:16:53
89afd6b4-8a61-4592-80b7-e3eccff803a2,15f4639b-e746-42f7-a723-b1a84153e8da,Real Estate,88139.51,51489.18,2017-11-23,2025-03-15 13:16:53
9fe2c390-74e9-4996-a896-a8874b667e5b,9ad74c68-4b65-4675-b0fd-d54c603fa727,Real Estate,79794.19,97159.81,2019-08-06,2025-03-15 13:16:53
537eda86-d01d-4c5e-b9fd-f85db9238ad1,fb9b1d2d-8792-47fb-afd0-104f0dcb4c39,ETF,45208.01,106225.89,2021-04-07,2025-03-15 13:16:53
009c9302-b4e0-4b86-b253-9d37bb2e7343,3ec4d5d3-4ac5-4725-bedf-7b675a0065cb,Crypto,31282.8,20433.92,2018-04-05,2025-03-15 13:16:53
0555c881-d2fe-4a24-b476-f3086a1d1316,fc1028b1-042e-4154-b253-91ed2eba3cf6,Bond,40802.7,14655.74,2017-02-09,2025-03-15 13:16:53
2f9d3cb9-d14e-4629-998d-1f6d4bf2b733,20e041d5-0e6c-4803-8889-3b9145236d6b,Mutual Fund,35463.39,110180.14,2017-02-18,2025-03-15 13:16:53
24c07b72-3d13-47cb-9962-2d3a40cb90a5,c6906366-681a-463d-a406-31061aa1c7a5,Real Estate,16704.8,82721.56,2017-07-10,2025-03-15 13:16:53
971f0ad9-8fea-4ccd-8461-22aec8b1b293,0a6cc5a2-f217-4553-bc7d-2bb51b796b70,Real Estate,44819.24,70332.24,2020-10-06,2025-03-15 13:16:53
bb5f7a0b-0f64-4d2e-9f18-db3a4bc24158,8290996d-4fe3-478f-8821-7a893bea99bc,ETF,17658.42,120111.97,2018-10-25,2025-03-15 13:16:53
228dfe7b-519b-4e4c-b842-cd0a873f4937,83df32f1-a74b-469a-85ef-6e724cd368f3,Real Estate,43547.07,75712.62,2021-07-25,2025-03-15 13:16:53
d2d66fb1-1d8f-4dca-883b-cb43ed618434,4d5595fc-51a8-41bc-aee3-2eb801a5b3ab,Mutual Fund,50424.29,23606.1,2022-08-24,2025-03-15 13:16:53
8102b4bb-1641-4bb0-b2a9-b1e5b9469187,08dfaac3-3beb-4dd6-b3c8-124cb869495b,ETF,40318.12,71852.97,2016-10-18,2025-03-15 13:16:53
4d64e2e3-bd5b-4185-9f4b-7ce65e6b3e2c,ecfddc50-6b36-4589-b66d-c4cf32570496,Stock,60501.84,33295.02,2015-05-09,2025-03-15 13:16:53
66fd6ab1-8c15-49a9-b317-da615599c4cb,ce947592-676b-40d1-9395-de5ff23f9341,Bond,32499.38,139933.57,2021-11-18,2025-03-15 13:16:53
d809c600-5d4c-4061-b109-eb988ba70c10,dcd9010b-3011-45a3-9ce1-eddb6fc40c20,Bond,8809.57,73265.02,2020-03-17,2025-03-15 13:16:53
ffbaa409-1db3-46b3-9929-1eb91194e1e8,e0042145-9e1f-4ba8-b38a-c5fe319f01b7,Crypto,7157.4,88380.67,2017-07-08,2025-03-15 13:16:53
200782e3-a00f-4c1e-a3f2-608eb6ce62dd,6d7e37df-160b-40f4-a94d-6c668718891e,Stock,12706.39,54303.1,2018-11-29,2025-03-15 13:16:53
beed24c2-c858-47d4-a0bb-47be1161287d,a039bb1d-46f9-4826-8716-1ea7ec80ea07,Bond,55918.73,3814.34,2017-03-12,2025-03-15 13:16:53
f196f46f-d34b-484f-8c18-7d694a48818f,5c464d88-1442-4c08-9ba4-ccddd2166e68,ETF,98508.66,122691.08,2016-01-15,2025-03-15 13:16:53
93ada4c2-fc30-4d31-92df-3e19ccb7b2c3,59c48b61-c1f5-4196-8181-e6d2e4c5412f,Mutual Fund,77377.77,38852.71,2018-01-20,2025-03-15 13:16:53
3e1dac2f-ae33-48d0-830b-05f80b888851,a52823eb-c299-4e9c-b8d1-2c3ac86f9ad0,Crypto,78954.67,113350.99,2016-09-18,2025-03-15 13:16:53
dd5dd2bd-fc27-4810-9c43-ee71973c7575,116bb0f5-1db1-4c68-8ee0-aa35fd31aac4,Bond,54597.81,60725.36,2016-01-14,2025-03-15 13:16:53
99a09dde-c56d-4d59-8ef6-5b7e6e14433b,351b048f-1cd1-46ea-9d04-98cb0adee1ab,Bond,60705.65,1186.44,2018-11-07,2025-03-15 13:16:53
c778e414-9824-42ee-89d6-7156befe911c,8c8bfcc5-7e04-4482-a822-b84e36c4f41c,Real Estate,21675.38,73345.13,2018-09-02,2025-03-15 13:16:53
66f0f8a9-a323-4c8f-9c33-075154415081,4ba75852-b35d-4943-9f94-ab0665d6170a,Mutual Fund,98388.58,102134.03,2018-03-24,2025-03-15 13:16:53
6d8a8c95-5813-4065-815b-a04fd5b2e128,43d82dc9-dd22-43d8-bd4f-f64b4a34b33d,ETF,25010.4,116018.7,2018-01-15,2025-03-15 13:16:53
4d60b038-ded2-4321-915a-de59db647f18,7ec72b02-73a4-4f97-84a4-884560561143,ETF,36237.05,61242.58,2022-07-02,2025-03-15 13:16:53
4577997e-32bd-42f4-bcf6-8c9b602fbc87,79a63675-a344-49cc-a5a2-50bc84912824,Mutual Fund,8237.79,63770.22,2015-05-05,2025-03-15 13:16:53
74059295-f499-46d9-9734-dd0517b5fa10,ce8b742e-3099-4ff5-a25b-0e76ab71d22b,Crypto,17747.43,73607.98,2017-07-14,2025-03-15 13:16:53
d728a0c6-2096-4212-bc49-a12a0112009d,25286e4c-fc69-46ad-a350-c0f2ca462024,Stock,50765.41,124811.41,2017-03-07,2025-03-15 13:16:53
5fcbf0e8-2a78-4c87-9b80-4b98e623b7f7,1b56b5c4-edc5-4240-875a-2a528d7e9ece,Crypto,35382.12,135874.37,2020-10-18,2025-03-15 13:16:53
be77fc1b-9a2f-4e09-ad5a-ec3aa763553d,45d32c20-a109-4022-b96e-0e0a8213a983,Stock,92043.47,120244.33,2017-11-29,2025-03-15 13:16:53
4091d09e-90a8-491b-8c31-1d895a2b964e,37f9760a-8393-42ab-acb9-79acb307af2d,ETF,19557.23,118774.82,2015-10-20,2025-03-15 13:16:53
94b7becc-aca2-4dcf-be6c-7d168a02a102,bfb8365d-dae4-481a-b354-3462707e63fa,Crypto,96146.23,91846.72,2022-09-25,2025-03-15 13:16:53
b3dc5d8a-97ea-4850-a63b-1cf523bb4ac1,09bd5317-a060-4ba6-9e4e-fb95f2295886,Crypto,69010.12,142503.73,2016-10-11,2025-03-15 13:16:53
cf05ab60-225e-46b6-b9d6-308d398fa43e,b90e9e0c-9df0-40f4-beb2-dc9da4475c8d,Mutual Fund,53765.14,81345.15,2020-10-18,2025-03-15 13:16:53
6f126226-e56c-4175-8a0f-7a8ccc941d49,8371bafa-d36e-4328-a99e-ec6a0c6ef971,Crypto,85992.03,29845.46,2018-10-06,2025-03-15 13:16:53
e58bbb32-b54c-49a1-8a96-483de150a408,032bb804-a67a-4f82-a37f-0b36c32af61e,Mutual Fund,38788.14,126648.09,2020-05-04,2025-03-15 13:16:53
d1426adb-f574-41f6-aef9-f41b190e132e,c4a141d9-9f4f-43df-9ab5-23fb2072d58b,Real Estate,64920.06,4940.55,2017-12-24,2025-03-15 13:16:53
a18d5cff-e30a-4c4f-b549-f10d416986ec,c5aa8efc-d696-487c-9fb3-5e2736dc9451,Mutual Fund,43759.52,60439.34,2015-07-06,2025-03-15 13:16:53
0e52b899-9587-43bf-b574-1c410fb64404,f6191fa7-0320-4b52-8ed1-2b360cd129cf,Mutual Fund,74461.99,146757.83,2015-01-27,2025-03-15 13:16:53
bb1fcd9e-89e8-449d-8669-c8261e35f3f4,d8bcd9ae-3c70-46ac-87c2-38de8c92eaab,Crypto,48669.37,137645.41,2017-01-19,2025-03-15 13:16:53
106644d3-81c7-41d8-9940-25cf18bd6752,8336d7c6-a3ac-4bfb-b3dd-a64551260dcd,Real Estate,15980.34,45803.19,2019-07-25,2025-03-15 13:16:53
0a25f489-ea85-434f-be3c-1306baf56a88,aaeae9cb-c9b8-436b-8904-543848cb3d11,Stock,89637.6,30188.98,2017-09-03,2025-03-15 13:16:53
94674218-8cd1-485c-b2e9-ef12a4962125,342cfb5d-9842-49e5-aa07-26a0749fd1f1,Stock,57469.17,98256.32,2017-01-11,2025-03-15 13:16:53
6514f6f5-cc87-452d-b412-913e17b4e0cb,04285d86-721a-4e43-817e-8fa951ca4757,ETF,80261.19,51068.03,2017-09-20,2025-03-15 13:16:53
6b733340-93d2-4eb2-8df7-758ffb610ec0,213c6783-775d-4db8-8236-7c778ac5a6e8,Bond,58145.67,101260.85,2021-07-08,2025-03-15 13:16:53
